,label,path
2998,2,../chaoyang-data/train/540293_3-IMG020x013-2.JPG
1411,0,../chaoyang-data/train/538721-IMG016x009-0.JPG
2331,3,../chaoyang-data/train/539085_1-IMG006x009-3.JPG
2528,2,../chaoyang-data/train/539668_1-IMG011x020-2.JPG
507,3,../chaoyang-data/train/535988-IMG007x006-3.JPG
9,0,../chaoyang-data/train/353042_4-IMG012x024-0.JPG
2036,3,../chaoyang-data/train/538880-3-IMG023x026-3.JPG
2193,3,../chaoyang-data/train/538880-3-IMG038x051-3.JPG
404,0,../chaoyang-data/train/535957-IMG005x006-0.JPG
2696,3,../chaoyang-data/train/539972_2-IMG013x012-3.JPG
405,0,../chaoyang-data/train/535957-IMG005x007-0.JPG
1072,0,../chaoyang-data/train/537688_2-IMG010x006-0.JPG
2658,3,../chaoyang-data/train/539972_1-IMG010x009-3.JPG
2891,2,../chaoyang-data/train/540293_1-IMG019x020-2.JPG
652,0,../chaoyang-data/train/536706_1-IMG008x017-0.JPG
1861,3,../chaoyang-data/train/538880-3-IMG012x013-3.JPG
3932,3,../chaoyang-data/train/543645_5-IMG011x016-3.JPG
2271,0,../chaoyang-data/train/538899-IMG011x011-0.JPG
1248,0,../chaoyang-data/train/537723-IMG008x007-0.JPG
1971,3,../chaoyang-data/train/538880-3-IMG019x019-3.JPG
1420,0,../chaoyang-data/train/538842_1-IMG007x009-0.JPG
1152,1,../chaoyang-data/train/537700-IMG008x013-1.JPG
1697,1,../chaoyang-data/train/538879-1-IMG030x013-1.JPG
1068,3,../chaoyang-data/train/537688_2-IMG008x005-3.JPG
3771,2,../chaoyang-data/train/543645_1-IMG036x025-2.JPG
257,0,../chaoyang-data/train/535953-IMG012x004-0.JPG
367,0,../chaoyang-data/train/535956-IMG009x004-0.JPG
294,0,../chaoyang-data/train/535954-IMG005x008-0.JPG
2476,2,../chaoyang-data/train/539668_1-IMG007x006-2.JPG
2058,3,../chaoyang-data/train/538880-3-IMG025x028-3.JPG
748,0,../chaoyang-data/train/536707_1-IMG010x007-0.JPG
1283,3,../chaoyang-data/train/537839_3-IMG005x013-3.JPG
1169,0,../chaoyang-data/train/537702-IMG006x013-0.JPG
2673,0,../chaoyang-data/train/539972_2-IMG006x039-0.JPG
