Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3,Temperature
Chaoyang,BASELINE,Resnet50,0.8139,0.9443,0.7805,0.7773,0.7777,0.0675,0.0629,0.0454,0.512,0.2808,0.8559,0.5952,0.9716,0.6866,0.8027,0.9294,0.7526,0.7431,0.7466,0.0735,0.0734,0.0527,0.5869,0.2926,0.7603,0.5327,0.9726,0.707,1.2518293
Chaoyang,LS,Resnet50,0.8238,0.938,0.8023,0.785,0.7903,0.0533,0.0591,0.0407,0.521,0.2747,0.9009,0.6548,0.9574,0.6269,0.7999,0.9337,0.757,0.7311,0.7403,0.0359,0.0456,0.0347,0.5356,0.2837,0.7972,0.5607,0.9548,0.6117,1.0033469
Chaoyang,BASELINE_FL,Resnet50,0.8139,0.9423,0.8011,0.7666,0.7755,0.0474,0.048,0.0443,0.5015,0.2794,0.8829,0.5714,1,0.6119,0.8181,0.9415,0.7738,0.7255,0.7414,0.0295,0.0273,0.0358,0.4952,0.2559,0.8695,0.5265,0.9821,0.5238,1.1091439
Chaoyang,BASELINE_DCA,ResNet50,0.8015,0.9354,0.7623,0.762,0.7609,0.127,0.1211,0.0719,0.7172,0.3159,0.8018,0.5595,1,0.6866,0.8027,0.9288,0.7451,0.7414,0.7422,0.1191,0.1166,0.0667,0.7736,0.3171,0.7603,0.5732,0.9726,0.6593,1.2632737
Chaoyang,BASELINE_MDCA,ResNet50,0.8065,0.9417,0.7852,0.7528,0.7581,0.0532,0.0475,0.0666,0.5506,0.293,0.9369,0.5952,0.9716,0.5075,0.8195,0.9297,0.7799,0.7286,0.745,0.0483,0.0457,0.0439,0.5574,0.2797,0.9035,0.5078,0.9571,0.5458,1.2346388
Chaoyang,OURS_ALPHA05,Resnet50,0.8139,0.9464,0.8006,0.765,0.773,0.0462,0.0486,0.0473,0.5171,0.2754,0.9099,0.619,0.9787,0.5522,0.8266,0.9361,0.7806,0.7523,0.7638,0.0305,0.0311,0.0399,0.5061,0.2582,0.8482,0.5389,0.9774,0.6447,1.0075316
Chaoyang,BASELINE,Resnet50,0.8139,0.9408,0.7928,0.776,0.7744,0.1137,0.1129,0.0676,0.7333,0.2954,0.8739,0.4762,0.9929,0.7612,0.8107,0.9299,0.7534,0.7376,0.7437,0.1185,0.1183,0.0639,0.8265,0.3096,0.8199,0.4766,0.9726,0.6813,1.2651697
Chaoyang,LS,Resnet50,0.8189,0.9413,0.793,0.7822,0.7844,0.0402,0.049,0.0486,0.5177,0.2681,0.8829,0.5357,0.9787,0.7313,0.8228,0.9338,0.7658,0.755,0.7597,0.04,0.0444,0.0393,0.5162,0.2624,0.8199,0.5234,0.981,0.696,1.0331963
Chaoyang,BASELINE_FL,Resnet50,0.8164,0.9528,0.7864,0.776,0.7795,0.0263,0.0453,0.0373,0.4531,0.2608,0.8919,0.6429,0.9574,0.6119,0.8261,0.9387,0.775,0.7515,0.761,0.0228,0.0267,0.0241,0.4868,0.2549,0.8723,0.4891,0.9631,0.6813,0.79554254
Chaoyang,BASELINE_DCA,ResNet50,0.8164,0.9309,0.7926,0.7758,0.7809,0.0904,0.0799,0.0654,0.7361,0.3008,0.8559,0.6786,0.9716,0.597,0.7966,0.9297,0.7583,0.7183,0.732,0.1196,0.1199,0.0641,0.7535,0.3195,0.8255,0.5202,0.9488,0.5788,1.2622236
