Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3
Chaoyang,BASELINE,Resnet34,0.8288,0.9484,0.8073,0.7981,0.8005,0.1239,0.1102,0.0708,0.792,0.2947,0.7658,0.7619,0.9929,0.6716,0.8022,0.9385,0.7475,0.7318,0.737,0.1391,0.139,0.0751,0.9122,0.3252,0.7631,0.5763,0.9869,0.6007
Chaoyang,LS,Resnet34,0.8288,0.9415,0.8019,0.7909,0.7942,0.046,0.0517,0.0431,0.5169,0.2604,0.9009,0.6786,0.9574,0.6269,0.82,0.9382,0.769,0.7371,0.7488,0.0445,0.0459,0.0366,0.5062,0.2636,0.8851,0.5296,0.9548,0.5788
Chaoyang,BASELINE_FL,Resnet34,0.8337,0.9484,0.8063,0.8002,0.8028,0.1128,0.1158,0.061,0.507,0.271,0.8468,0.6667,0.9858,0.7015,0.8303,0.9448,0.7898,0.7618,0.7732,0.0705,0.0709,0.0501,0.4927,0.2649,0.8482,0.5732,0.9702,0.6557
Chaoyang,BASELINE_DCA,Resnet34,0.8288,0.9425,0.8171,0.791,0.7944,0.0814,0.0807,0.0531,0.5627,0.2767,0.9009,0.5238,0.9929,0.7463,0.8261,0.9384,0.772,0.7445,0.7545,0.0768,0.0728,0.0403,0.5659,0.2632,0.8723,0.4517,0.9798,0.674
Chaoyang,BASELINE_MDCA,Resnet34,0.8238,0.9486,0.791,0.7942,0.7915,0.0679,0.0658,0.0465,0.5203,0.2658,0.8108,0.619,0.9858,0.7612,0.813,0.9419,0.7552,0.7579,0.756,0.0761,0.0729,0.047,0.5605,0.2725,0.7688,0.5358,0.9762,0.7509
Chaoyang,OURS_ALPHA05,Resnet34,0.8238,0.9382,0.7951,0.7993,0.7963,0.0515,0.0632,0.0457,0.5449,0.2826,0.8018,0.6548,0.9645,0.7761,0.8186,0.941,0.759,0.7633,0.7602,0.0352,0.0413,0.0391,0.5214,0.266,0.7745,0.5701,0.9798,0.7289
Chaoyang,BASELINE,Resnet34,0.8362,0.9523,0.8073,0.8101,0.8072,0.0926,0.0871,0.0628,0.6238,0.2745,0.8018,0.6548,0.9929,0.791,0.8219,0.9456,0.7672,0.7546,0.7599,0.1108,0.1106,0.0602,0.6912,0.2846,0.8156,0.5296,0.981,0.6923
Chaoyang,LS,Resnet34,0.8213,0.9388,0.7925,0.7895,0.79,0.0639,0.0675,0.0562,0.545,0.2819,0.8288,0.619,0.9787,0.7313,0.8153,0.9329,0.7614,0.7497,0.7548,0.0381,0.036,0.0382,0.5341,0.2747,0.8085,0.5545,0.969,0.6667
Chaoyang,BASELINE_FL,Resnet34,0.8263,0.9395,0.7998,0.7976,0.7911,0.0479,0.0449,0.0477,0.5273,0.2727,0.8378,0.5238,0.9929,0.8358,0.8111,0.9368,0.7573,0.7447,0.7421,0.0292,0.0302,0.0297,0.5125,0.2725,0.8227,0.4081,0.9643,0.7839
Chaoyang,BASELINE_DCA,Resnet34,0.8164,0.9389,0.7865,0.7715,0.7759,0.0883,0.0841,0.0558,0.6032,0.2847,0.8739,0.6071,0.9929,0.6119,0.8139,0.9363,0.7636,0.72,0.7347,0.0984,0.0967,0.0532,0.6032,0.2882,0.8809,0.4891,0.9714,0.5385
Chaoyang,BASELINE_MDCA,Resnet34,0.8313,0.9456,0.8121,0.7957,0.8008,0.1348,0.1101,0.0682,0.8337,0.2902,0.8919,0.6548,0.9645,0.6716,0.8308,0.9198,0.7821,0.7576,0.7673,0.1204,0.1195,0.0621,0.9949,0.2912,0.8837,0.4984,0.9595,0.6886
Chaoyang,OURS_ALPHA05,Resnet34,0.8288,0.95,0.8162,0.7917,0.7995,0.0522,0.0406,0.0445,0.4816,0.2581,0.8559,0.6905,0.9787,0.6418,0.82,0.9388,0.7803,0.7388,0.7528,0.0257,0.0328,0.0338,0.4799,0.2553,0.8567,0.5483,0.9714,0.5788
Chaoyang,BASELINE,Resnet34,0.8412,0.9566,0.8167,0.8089,0.812,0.0706,0.064,0.0445,0.4842,0.2398,0.8649,0.6905,0.9787,0.7015,0.8209,0.9383,0.7626,0.7508,0.7561,0.0898,0.0866,0.0525,0.6229,0.2823,0.8411,0.514,0.9667,0.6813
Chaoyang,LS,Resnet34,0.8387,0.9528,0.8209,0.8012,0.808,0.0503,0.0517,0.0486,0.4629,0.2453,0.8649,0.6905,0.9929,0.6567,0.8219,0.944,0.7778,0.7509,0.7617,0.0275,0.032,0.0362,0.4792,0.2546,0.8241,0.5514,0.9798,0.6484
Chaoyang,BASELINE_FL,Resnet34,0.8213,0.9378,0.7843,0.7899,0.7835,0.166,0.1644,0.0895,0.5859,0.3222,0.8468,0.5357,0.9858,0.791,0.8153,0.9403,0.7502,0.7637,0.755,0.1504,0.1491,0.0934,0.5717,0.3074,0.7957,0.4922,0.9571,0.8095
Chaoyang,BASELINE_DCA,Resnet34,0.8288,0.9444,0.8094,0.7936,0.7965,0.0878,0.0879,0.056,0.6255,0.2812,0.8829,0.5595,0.9858,0.7463,0.8172,0.9409,0.7631,0.7377,0.7477,0.1029,0.1023,0.0545,0.641,0.281,0.8326,0.4829,0.9869,0.6484
Chaoyang,BASELINE_MDCA,Resnet34,0.8263,0.9421,0.8037,0.7894,0.7945,0.0925,0.0848,0.0585,0.7583,0.2778,0.8378,0.7143,0.9787,0.6269,0.8018,0.9321,0.759,0.7316,0.7402,0.1249,0.1248,0.0705,0.902,0.3188,0.756,0.595,0.9893,0.5861
Chaoyang,OURS_ALPHA05,Resnet34,0.8362,0.9495,0.8302,0.7976,0.8061,0.0431,0.0481,0.0486,0.4983,0.2604,0.9009,0.5952,0.9929,0.7015,0.8298,0.9406,0.7797,0.7587,0.7665,0.0234,0.0196,0.0316,0.4915,0.2484,0.8525,0.4735,0.9798,0.7289
