Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,Temperature
MHIST,BASELINE,Resnet50,0.846,0.8897,0.8184,0.7976,0.8067,0.0439,0.0605,0.0539,0.4023,0.2371,0.9126,0.6825,0.7861,0.8563,0.7716,0.7629,0.7666,0.0807,0.0789,0.0853,0.4984,0.3097,0.8509,0.675,1.2497412
MHIST,LS,Resnet50,0.8759,0.9172,0.8815,0.8092,0.8347,0.055,0.0649,0.059,0.3388,0.2059,0.9676,0.6508,0.8158,0.875,0.8237,0.7743,0.7881,0.0565,0.0586,0.0638,0.4382,0.2745,0.9319,0.6167,1.0966614
MHIST,BASELINE_FL,Resnet50,0.8529,0.9024,0.8308,0.8001,0.8129,0.1381,0.137,0.1462,0.4209,0.2614,0.9256,0.6746,0.7861,0.8359,0.782,0.7462,0.7566,0.0964,0.0959,0.0979,0.4969,0.3262,0.8979,0.5944,0.6787593
MHIST,BASELINE_DCA,Resnet50,0.8552,0.8847,0.8347,0.8017,0.8154,0.0741,0.0727,0.0893,0.4653,0.2406,0.9288,0.6746,0.8147,0.8626,0.8115,0.7822,0.7922,0.0722,0.0683,0.0858,0.5821,0.2902,0.906,0.6583,1.2603513
MHIST,BASELINE_MDCA,Resnet50,0.8529,0.8834,0.8212,0.8212,0.8212,0.0425,0.0574,0.0722,0.4033,0.2389,0.8964,0.746,0.7973,0.8663,0.7844,0.7742,0.7785,0.0364,0.0383,0.0555,0.4582,0.287,0.8622,0.6861,1.234812
MHIST,OURS_ALPHA05,Resnet50,0.8506,0.9122,0.8212,0.8102,0.8153,0.0265,0.036,0.0521,0.34,0.2167,0.9061,0.7143,0.824,0.8867,0.8154,0.8005,0.8066,0.0327,0.0394,0.0592,0.419,0.262,0.8898,0.7111,0.7809463
MHIST,BASELINE,Resnet50,0.8414,0.85,0.8335,0.7638,0.7869,0.0868,0.0787,0.0993,0.4678,0.2661,0.9482,0.5794,0.7226,0.7849,0.7055,0.6745,0.6812,0.1297,0.1292,0.1272,0.6499,0.3927,0.8574,0.4917,1.257658
MHIST,LS,Resnet50,0.8506,0.9067,0.8166,0.8267,0.8213,0.0304,0.039,0.0526,0.3481,0.2111,0.8835,0.7698,0.7912,0.8517,0.7758,0.7838,0.7791,0.0655,0.0715,0.0743,0.5074,0.3148,0.812,0.7556,0.861114
MHIST,BASELINE_FL,Resnet50,0.8276,0.8895,0.8446,0.7235,0.7521,0.0561,0.0607,0.0771,0.4027,0.2578,0.9709,0.4762,0.7636,0.851,0.7946,0.6959,0.7068,0.035,0.0345,0.0947,0.4907,0.3227,0.953,0.4389,0.70606804
MHIST,BASELINE_DCA,Resnet50,0.823,0.8993,0.8013,0.7461,0.7651,0.0335,0.0371,0.073,0.3834,0.2393,0.9288,0.5635,0.7605,0.8215,0.7541,0.7143,0.7241,0.077,0.0757,0.0955,0.6218,0.3493,0.8898,0.5389,1.2533903
MHIST,BASELINE_MDCA,Resnet50,0.8483,0.9146,0.8197,0.8039,0.8111,0.0304,0.0292,0.0399,0.344,0.2143,0.9094,0.6984,0.7513,0.812,0.7327,0.729,0.7307,0.0981,0.0986,0.1003,0.6015,0.3592,0.8136,0.6444,1.2442557
MHIST,OURS_ALPHA05,Resnet50,0.8552,0.8963,0.8347,0.8017,0.8154,0.0305,0.0491,0.0407,0.3555,0.2176,0.9288,0.6746,0.8117,0.8819,0.8082,0.7786,0.7886,0.0373,0.0427,0.0665,0.4303,0.2725,0.9044,0.6528,1.0430676
MHIST,BASELINE,Resnet50,0.8552,0.911,0.8291,0.8111,0.8192,0.0464,0.0475,0.0484,0.373,0.2172,0.9159,0.7063,0.8076,0.8675,0.7942,0.7892,0.7915,0.0725,0.0742,0.0759,0.4893,0.2908,0.859,0.7194,1.255974
MHIST,LS,Resnet50,0.8529,0.902,0.8256,0.8095,0.8168,0.0344,0.0326,0.0428,0.3503,0.2176,0.9126,0.7063,0.8147,0.8783,0.8133,0.7804,0.7912,0.039,0.0448,0.0563,0.4267,0.2717,0.9109,0.65,0.8962617
MHIST,BASELINE_FL,Resnet50,0.8713,0.8878,0.8555,0.8224,0.8363,0.1156,0.1174,0.0939,0.3987,0.2518,0.9385,0.7063,0.7677,0.8333,0.7514,0.742,0.7459,0.0454,0.0526,0.046,0.4862,0.3205,0.8395,0.6444,0.6956686
MHIST,BASELINE_DCA,Resnet50,0.8483,0.9184,0.8402,0.7757,0.798,0.0264,0.0283,0.0561,0.3406,0.2141,0.9482,0.6032,0.8066,0.8807,0.8034,0.7716,0.782,0.0483,0.0488,0.0647,0.4416,0.2731,0.9044,0.6389,1.2404876
MHIST,BASELINE_MDCA,Resnet50,0.8483,0.8919,0.8355,0.7804,0.8004,0.0655,0.0663,0.0748,0.4705,0.2441,0.9417,0.619,0.7799,0.8481,0.7695,0.7459,0.7539,0.0886,0.0854,0.0882,0.5783,0.3197,0.8752,0.6167,1.262394
MHIST,OURS_ALPHA05,Resnet50,0.8552,0.9129,0.8252,0.8205,0.8228,0.051,0.0546,0.0544,0.333,0.207,0.9029,0.7381,0.8076,0.88,0.7935,0.7921,0.7928,0.0257,0.0286,0.0374,0.4189,0.2674,0.8509,0.7333,0.7732751
