Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1
MHIST,BASELINE,Resnet50,0.846,0.8897,0.8184,0.7976,0.8067,0.0661,0.0731,0.0783,0.4401,0.2429,0.9126,0.6825,0.7861,0.8563,0.7716,0.7629,0.7666,0.1078,0.1049,0.1121,0.5517,0.322,0.8509,0.675
MHIST,LS,Resnet50,0.8759,0.9172,0.8815,0.8092,0.8347,0.0527,0.0649,0.0574,0.3404,0.2072,0.9676,0.6508,0.8158,0.875,0.8237,0.7743,0.7881,0.0659,0.0685,0.0765,0.4479,0.2781,0.9319,0.6167
MHIST,BASELINE_FL,Resnet50,0.8529,0.9024,0.8308,0.8001,0.8129,0.1922,0.191,0.1989,0.4739,0.2988,0.9256,0.6746,0.7861,0.8359,0.782,0.7462,0.7566,0.1461,0.1456,0.1412,0.5324,0.3517,0.8979,0.5944
MHIST,BASELINE_DCA,Resnet50,0.8552,0.8847,0.8347,0.8017,0.8154,0.0783,0.0772,0.089,0.5191,0.241,0.9288,0.6746,0.8147,0.8626,0.8115,0.7822,0.7922,0.0752,0.0762,0.0891,0.6414,0.2925,0.906,0.6583
MHIST,BASELINE_MDCA,Resnet50,0.8529,0.8834,0.8212,0.8212,0.8212,0.0478,0.0576,0.0774,0.4205,0.2387,0.8964,0.746,0.7973,0.8663,0.7844,0.7742,0.7785,0.0656,0.0621,0.0677,0.4846,0.2924,0.8622,0.6861
MHIST,OURS_ALPHA05,Resnet50,0.8506,0.9122,0.8212,0.8102,0.8153,0.0448,0.0542,0.0565,0.349,0.2204,0.9061,0.7143,0.824,0.8867,0.8154,0.8005,0.8066,0.0419,0.0473,0.0586,0.4171,0.2647,0.8898,0.7111
MHIST,BASELINE,Resnet50,0.8414,0.85,0.8335,0.7638,0.7869,0.1035,0.0905,0.1043,0.5263,0.2722,0.9482,0.5794,0.7226,0.7849,0.7055,0.6745,0.6812,0.1554,0.1549,0.1522,0.7401,0.4087,0.8574,0.4917
MHIST,LS,Resnet50,0.8506,0.9067,0.8166,0.8267,0.8213,0.0398,0.0452,0.0558,0.3514,0.2129,0.8835,0.7698,0.7912,0.8517,0.7758,0.7838,0.7791,0.0412,0.0537,0.0588,0.4906,0.31,0.812,0.7556
MHIST,BASELINE_FL,Resnet50,0.8276,0.8895,0.8446,0.7235,0.7521,0.1088,0.11,0.1215,0.435,0.2752,0.9709,0.4762,0.7636,0.851,0.7946,0.6959,0.7068,0.0791,0.0805,0.1246,0.5084,0.3347,0.953,0.4389
MHIST,BASELINE_DCA,Resnet50,0.823,0.8993,0.8013,0.7461,0.7651,0.0576,0.051,0.0975,0.411,0.2436,0.9288,0.5635,0.7605,0.8215,0.7541,0.7143,0.7241,0.0914,0.0926,0.1015,0.6956,0.3554,0.8898,0.5389
MHIST,BASELINE_MDCA,Resnet50,0.8483,0.9146,0.8197,0.8039,0.8111,0.056,0.0426,0.0583,0.3633,0.2172,0.9094,0.6984,0.7513,0.812,0.7327,0.729,0.7307,0.1233,0.1238,0.1247,0.6732,0.3708,0.8136,0.6444
MHIST,OURS_ALPHA05,Resnet50,0.8552,0.8963,0.8347,0.8017,0.8154,0.0344,0.0486,0.0448,0.3558,0.2179,0.9288,0.6746,0.8117,0.8819,0.8082,0.7786,0.7886,0.0442,0.0456,0.0689,0.4329,0.2735,0.9044,0.6528
MHIST,BASELINE,Resnet50,0.8552,0.911,0.8291,0.8111,0.8192,0.0635,0.0549,0.0685,0.4108,0.2227,0.9159,0.7063,0.8076,0.8675,0.7942,0.7892,0.7915,0.1018,0.0969,0.1054,0.5452,0.3007,0.859,0.7194
MHIST,LS,Resnet50,0.8529,0.902,0.8256,0.8095,0.8168,0.0363,0.0326,0.0431,0.3521,0.2179,0.9126,0.7063,0.8147,0.8783,0.8133,0.7804,0.7912,0.0298,0.0377,0.0498,0.4227,0.2699,0.9109,0.65
MHIST,BASELINE_FL,Resnet50,0.8713,0.8878,0.8555,0.8224,0.8363,0.1651,0.1663,0.1459,0.4352,0.2758,0.9385,0.7063,0.7677,0.8333,0.7514,0.742,0.7459,0.093,0.096,0.0921,0.5076,0.3355,0.8395,0.6444
MHIST,BASELINE_DCA,Resnet50,0.8483,0.9184,0.8402,0.7757,0.798,0.0517,0.0448,0.0651,0.3589,0.2191,0.9482,0.6032,0.8066,0.8807,0.8034,0.7716,0.782,0.0731,0.0736,0.0835,0.4758,0.2803,0.9044,0.6389
MHIST,BASELINE_MDCA,Resnet50,0.8483,0.8919,0.8355,0.7804,0.8004,0.0783,0.0726,0.0913,0.5369,0.2486,0.9417,0.619,0.7799,0.8481,0.7695,0.7459,0.7539,0.1082,0.1087,0.1089,0.6583,0.329,0.8752,0.6167
MHIST,OURS_ALPHA05,Resnet50,0.8552,0.9129,0.8252,0.8205,0.8228,0.0518,0.072,0.0598,0.3454,0.2104,0.9029,0.7381,0.8076,0.88,0.7935,0.7921,0.7928,0.0346,0.0352,0.0465,0.4218,0.2678,0.8509,0.7333
