Dataset,Name,Arch,Vacc,Vauc,Vprecision,Vrecall,Vf1,Vece,Vaece,Vsce,Vce,Vbrierloss,VaccK0,VaccK1,VaccK2,VaccK3,VaccK4,VaccK5,VaccK6,Tacc,Tauc,Tprecision,Trecall,Tf1,Tece,Taece,Tsce,Tce,Tbrierloss,TaccK0,TaccK1,TaccK2,TaccK3,TaccK4,TaccK5,TaccK6
ISIC2018,BASELINE,Resnet34,0.8394,0.9684,0.7371,0.7513,0.6899,0.0787,0.0597,0.0404,0.4896,0.2557,0.5,0.6667,0.5455,1,0.5714,0.9756,1,0.7414,0.9314,0.6139,0.5383,0.5525,0.1011,0.0998,0.0351,0.798,0.3744,0.3953,0.4086,0.4839,0.7045,0.386,0.9329,0.4571
ISIC2018,LS,Resnet34,0.886,0.9665,0.8927,0.8436,0.8594,0.0871,0.0987,0.0379,0.5012,0.2182,0.75,0.8,0.8636,1,0.5238,0.9675,1,0.7288,0.9154,0.6597,0.5117,0.5366,0.0832,0.097,0.0333,0.8028,0.3794,0.6279,0.4516,0.5253,0.25,0.3216,0.9197,0.4857
ISIC2018,BASELINE_FL,Resnet34,0.8497,0.9437,0.8551,0.7589,0.7558,0.1346,0.1469,0.0507,0.5755,0.2731,0.125,0.9333,0.6364,1,0.6667,0.9512,1,0.7321,0.8932,0.6318,0.5094,0.5433,0.0645,0.0706,0.035,0.8044,0.3856,0.2558,0.6022,0.4424,0.3182,0.5965,0.8933,0.4571
ISIC2018,BASELINE_DCA,Resnet34,0.8549,0.949,0.6889,0.6506,0.6596,0.1045,0.0599,0.0378,0.6784,0.2439,0.625,0.8,0.7727,0,0.381,0.9756,1,0.7302,0.8973,0.6245,0.49,0.5348,0.1344,0.1343,0.0426,0.9729,0.4064,0.2093,0.4839,0.5806,0.5227,0.3509,0.9109,0.3714
ISIC2018,BASELINE_MDCA,Resnet34,0.829,0.8977,0.6195,0.5998,0.607,0.1032,0.1003,0.0419,0.7468,0.2993,0.5,0.8,0.5909,0,0.7143,0.9268,0.6667,0.7348,0.9,0.6683,0.5256,0.5707,0.1557,0.1553,0.0509,1.0968,0.4306,0.4186,0.4946,0.4516,0.3182,0.5146,0.9098,0.5714
ISIC2018,OURS_ALPHA05,Resnet34,0.8394,0.9406,0.6977,0.6201,0.6418,0.0987,0.0904,0.0396,0.5504,0.2688,0.5,0.8,0.6364,0,0.4286,0.9756,1,0.7474,0.9041,0.6258,0.4766,0.5009,0.0399,0.0402,0.0214,0.7619,0.3651,0.5349,0.4946,0.553,0.0455,0.3918,0.945,0.3714
ISIC2018,BASELINE,Resnet34,0.8808,0.9667,0.917,0.8067,0.8419,0.0942,0.0906,0.034,0.5847,0.2166,0.5,0.8667,0.7727,1,0.5238,0.9837,1,0.7454,0.9233,0.6696,0.5224,0.5705,0.1725,0.1723,0.0518,1.1846,0.4144,0.4419,0.6344,0.4516,0.3864,0.3392,0.9461,0.4571
ISIC2018,LS,Resnet34,0.8808,0.8428,0.7678,0.6489,0.6884,0.018,0.0745,0.0291,0.4673,0.1968,0.625,0.9333,0.8182,0,0.5238,0.9756,0.6667,0.744,0.8459,0.6544,0.5195,0.5633,0.1203,0.1228,0.0387,0.956,0.4137,0.3953,0.6344,0.4608,0.3864,0.3626,0.9395,0.4571
ISIC2018,BASELINE_FL,Resnet34,0.8756,0.9696,0.8485,0.8031,0.8231,0.1056,0.1004,0.0396,0.4742,0.2282,0.625,0.6667,0.7273,1,0.619,0.9837,1,0.7599,0.92,0.6991,0.5631,0.6033,0.0233,0.0245,0.0223,0.7092,0.3447,0.5581,0.5484,0.47,0.5682,0.4561,0.9406,0.4
ISIC2018,BASELINE_DCA,Resnet34,0.8549,0.9688,0.8224,0.729,0.759,0.0532,0.038,0.0318,0.4855,0.2171,0.375,0.6667,0.8636,1,0.5714,0.9593,0.6667,0.7593,0.9229,0.698,0.5218,0.5769,0.088,0.0847,0.032,0.7486,0.3419,0.3488,0.4301,0.6544,0.3864,0.4503,0.9252,0.4571
